# Resolved fill + ink per lithology code, for review.
# Regenerate with inject_basemap_lith_patterns.py
code	fill	ink
ALPR	#8351b4	#b493d5
ANS	#feafc2	#8c4433
APH	#73f2cc	#13b182
ATR	#84f5db	#12b690
F	#feafc2	#e65b7d
FAB	#feafc2	#ed8aa2
FAPL	#fedee6	#e0bbc5
FD	#fdeca5	#bd9c14
FGAP	#feafc2	#ed8aa2
FGD	#fc94b7	#ed2065
FGM	#feafc2	#e65b7d
FGR	#feafc2	#e65b7d
FGR2M	#feafc2	#5a3f22
FGRA	#feafc2	#8c4433
FGRB	#feafc2	#5a3f22
FGRL	#fec8d5	#d87c92
FGY	#feafc2	#ed8aa2
FI	#feafc2	#e65b7d
FIG	#fef1ae	#c9ad1d
FMG	#feafc2	#ed8aa2
FMZQ	#fc94b7	#3d5f78
FP	#fce093	#c79610
FPG	#fda6be	#e93567
FPGS	#f79bb8	#4a2f5e
FQFP	#fdeca5	#3d5f78
FQP	#fef5b8	#3d5f78
FR	#fdeca5	#c8a515
FRD	#fef5b8	#baa625
FSY	#fda6be	#8c4433
FSYG	#fee4d9	#8c4433
FSYG (R)	#ebfee9	#8c4433
FTA	#fde79c	#c19810
FTJ	#fda6be	#eb4774
FTO	#feb9c7	#e0657e
FTO (LA)	#feecf1	#c8a2ac
FTX	#fef1ae	#baa11b
FV	#fef5b8	#c4b027
FVC	#fef8c1	#b9ab2e
FVP	#fefbcb	#bab33b
FVX	#fef1ae	#bea41b
HAMP	#8abcc1	#28382e
HBL	#6caea9	#38726e
HCAT	#9a9086	#69594a
HCK	#c86a44	#884226
HCS	#c8cf9e	#6b1c24
HEC	#84babd	#6b1c24
HFBX	#8e857b	#5d5143
HFG	#e09a72	#b15926
HGF	#d4794f	#a85128
HGG	#d96a4e	#973820
HGGA	#e3876f	#b14023
HGI	#55ecc4	#17b98e
HGM	#84babd	#479195
HGOU	#a79d92	#756350
HGS	#78b6b5	#3a7978
HGT	#b55369	#6b1c24
HGU	#6c3d9a	#9360c5
HHF	#b08968	#775437
HIG	#55ecc4	#15a67f
HMB	#c3ddd2	#44636f
HMG	#84babd	#3f8185
HMI	#b04168	#d686a2
HMID	#af3a58	#d77f96
HMIM	#c95672	#892941
HMIN	#e89fb0	#d44667
HMIP	#f0b6c3	#d5637d
HMIS	#e0889d	#c53155
HMIT	#d8718a	#ab2d4c
HMY	#82786f	#5c4e42
HPA	#8abcc1	#28382e
HPC	#8abcc1	#28382e
HPEG	#5b90c2	#2e5b86
HPG	#5b90c2	#2e5b86
HPH	#5b90c2	#326392
HPK	#8abcc1	#5a3f22
HPMA	#8abcc1	#28382e
HPPG	#5b90c2	#2e5b86
HPSG	#5b90c2	#2e5b86
HPST	#6b6259	#9f8a76
HSK	#a8a05c	#6b1c24
HSL	#5b90c2	#3870a4
HUMY	#6f675e	#a5937f
I	#84f5db	#14cda2
IA	#6bf1c4	#13aa77
IAC	#73f2cc	#12a87b
IBN	#7bf4d4	#3b3f26
ICB	#73f2cc	#44636f
ID	#84f5db	#14cda2
IDQ	#73f2cc	#3d5f78
II	#84f5db	#14cda2
IIG	#7bf4d4	#12b489
ILP	#7bf4d4	#11a780
IMC	#73f2cc	#13ae80
IMZ	#84f5db	#8c4433
IMZD	#84f5db	#14cda2
IP	#84f5db	#11b38e
IPG	#7bf4d4	#11a780
ITA	#8df5e1	#12af91
IVC	#84f5db	#11ac88
IVX	#7bf4d4	#11ae84
M	#e4f0e4	#83ae83
MAGG	#c8ddc3	#62a152
MAM	#85b98b	#28382e
MB	#d2e4cf	#6aa760
MBA	#d2e4cf	#6aa760
MBFS	#c4dabd	#64a250
MBK	#d2e4cf	#6aa760
MBP	#d2e4cf	#6aa760
MBV	#d2e4cf	#6aa760
MBX	#d2e4cf	#6aa760
MD	#b0ced2	#4c8e97
MDF	#b0ced2	#6b2f1e
MDFS	#55a9ad	#327174
MDH	#62aab3	#336d75
MDQ	#98c3c3	#3d5f78
MG	#bfd6da	#5398a4
MGA	#5b908b	#f6f4ee
MGBO	#c6dade	#4e5c2a
MGF	#8bbbb7	#6b2f1e
MGFS	#62aab3	#35727a
MGGN	#bfd6da	#3b3f26
MGGNO	#c6dade	#4e5c2a
MGL	#5b908e	#f6f4ee
MGN	#99c4c4	#3b3f26
MGNO	#c6dade	#4e5c2a
MGQ	#a0c7c9	#3d5f78
MGT	#a8cbcd	#6b2f1e
MGTC	#c6dade	#4e5c2a
MGY	#afced1	#4d9298
MI	#bfd6da	#5398a4
MLP	#a4c9cb	#478a8d
MMZG	#b7d2d6	#5096a0
MPC	#c8ddc3	#4e5c2a
MPG	#a4c9cb	#478a8d
RARZ	#ffefdb	#c39f72
RBX	#ffefdb	#6b2f1e
RCC	#fff9f3	#44636f
RDLM	#ffeed6	#c7a36f
RDLN	#faead7	#c39f75
RDLP	#ffeed6	#c7a36f
RDLX	#ffeed6	#c7a36f
RFC	#ffe9d2	#6b2f1e
RFSP	#ffe9d2	#6b2f1e
RGO	#937853	#6b2f1e
RIST	#ffeed6	#6b2f1e
RMZ	#ffeed6	#c8a572
RPLZ	#ffeed6	#c8a572
RSIL	#fee3c8	#3d5f78
RSLS	#ffefdb	#3d5f78
RSLU	#cbc1d1	#3d5f78
RSPC	#ffeed6	#c8a572
RSPL	#e4d5c4	#b89165
RSPR	#ffeed6	#c8a572
RSPU	#ffeed6	#c8a572
S	#67a2c7	#30688c
SAK	#e7dab1	#ac8f33
SBS	#7a8288	#1c1c1e
SBX	#d2ceb1	#948b4b
SCA	#78a7d3	#44636f
SCG	#c1b796	#877846
SCGFM	#5d68c3	#a2a9df
SCGFP	#656cc6	#abafe2
SCGIM	#6dbdc9	#2f7d89
SCGIP	#71c1d0	#2d8191
SCGMM	#78d3cb	#2c9188
SCGMP	#80d6d1	#2d938d
SCGUM	#ac88d8	#7a3ec4
SCGUP	#b490db	#8244c6
SCT	#bbc4ca	#708da1
SCTB	#c5ccd2	#1c1c1e
SDM	#98b4de	#3e74c5
SDO	#78a7d3	#44636f
SDOSL	#71a5d0	#44636f
SEV	#e3e0d3	#a99e71
SGT	#fcedc1	#c7a234
SGW	#71a5d0	#316d9f
SIF	#895245	#b56c5b
SJP	#965f4a	#bb7d66
SLI	#a5c0ca	#77a7b9
SMD	#6ea3c9	#346d96
SML	#78a7d3	#44636f
SPE	#7f868d	#485561
SPH	#bf9c7d	#8c623e
SPP	#898f96	#4f5c6b
SPR	#71a5d0	#306a9a
SPS	#71a5d0	#306a9a
SQT	#78a7d3	#3d5f78
SSH	#848a92	#5c6a7d
SSL	#e3e3e3	#a99595
SST	#eee8c7	#ad9d46
SSTF	#8eaeda	#3a71bc
SSTL	#eee8c7	#ad9d46
SSTM	#efebd0	#5a3f22
SSTP	#7fa9d5	#346eab
SSTQ	#8eaeda	#3a71bc
SSTR	#78a7d3	#44636f
STB	#7fa9d5	#3570ad
STI	#a0b8e0	#4777c7
STU	#7fa9d5	#346da8
SW	#8eaeda	#3b72bf
TALL	#efe8ce	#c5b77f
TCO	#efe8ce	#b19d53
TCOC	#efe8ce	#b19d53
TCOD	#e7d9b9	#b79340
TCOS	#e7d9b9	#b18e3e
TCY	#ece3c7	#b79f54
TDLP	#ffe9d2	#cb9d6d
TEVS	#eadec0	#ba9948
TGRV	#ece3c7	#b1984a
TGYP	#efe8ce	#b7a45f
THP	#f1ecd5	#b5a86a
TLG	#f1ecd5	#b0a15e
TLSC	#eadec0	#b29244
TLTP	#f1ecd5	#b4a667
TRSL	#f4f0dd	#b0a56d
TRSLM	#f5f3e0	#b4af79
TRSS	#f5f3e0	#afa970
TSA	#ece3c7	#b1984a
TSAC	#f1ecd5	#b0a15e
TSI	#efe8ce	#b19d53
TSP	#f4f0dd	#b5aa76
U	#b0a0bc	#8e6ca6
U-A	#b0a0bc	#28382e
U-CA	#b0a0bc	#28382e
U-T	#786487	#dfe8dc
U-TA	#b0a0bc	#28382e
U-TCB	#786487	#dfe8dc
U-TCBA	#786487	#dfe8dc
UCR	#7b4daf	#262a34
UDN	#a688ca	#4e5c2a
UHB	#8757b7	#28382e
UHZ	#a987cb	#4e5c2a
UKI	#8351b4	#b493d5
UKO	#998aac	#675084
UKOC	#8351b4	#a882ce
UKOS	#a595b4	#755790
ULP	#8351b4	#b798d7
ULZ	#a987cb	#4e5c2a
UPD	#a987cb	#4e5c2a
UPDO	#a987cb	#4e5c2a
UPG	#8351b4	#b798d7
UPY	#9161bb	#3b3f26
UPYC	#9161bb	#3b3f26
UPYO	#9161bb	#3b3f26
USP	#766487	#dfe8dc
USPX	#b0a0bc	#805d9b
UWB	#9161bb	#3b3f26
UWBO	#ab85cb	#4e5c2a
UWH	#a987cb	#4e5c2a
VC	#d48a94	#44636f
VL	#f98775	#f06049
VN	#f98775	#f06049
VPG	#f75050	#aa0e0e
VQ	#d2858a	#3d5f78
VQC	#f97575	#44636f
VS	#f98775	#f06049
VSTW	#f86c63	#ee3c31
VT	#f98775	#f06049
VX	#f75050	#b00e0e
ZBXSI	#7b9cc0	#3d648f
ZCS	#628789	#dfe8dc
ZF	#eea5b7	#da3d64
ZGT	#578eaa	#6b1c24
ZI	#79dcc2	#269679
ZM	#b1c6cb	#558995
ZMAM	#a6c0c3	#28382e
ZMB	#b1c6cb	#558995
ZMD	#b1c6cb	#558995
ZMG	#b1c6cb	#558995
ZQM	#6393b2	#5a3f22
ZS	#94a9ce	#476bac
ZSAS	#6f97b9	#385f80
ZSBS	#7b9dc0	#1c1c1e
ZSPE	#94a9ce	#476bac
ZSQT	#87a3c7	#3d5f78
ZSST	#94a9ce	#476bac
ZU	#765696	#ae93c9
ZU-A	#8260a4	#28382e
ZU-CA	#8260a4	#28382e
ZU-P	#9174af	#5a3f22
ZU-T	#765595	#dfe8dc
ZU-TA	#8260a4	#28382e
ZU-TCB	#765595	#dfe8dc
