# Lithology code -> texture tile. The injector reads this file and
# refuses to run unless it is exactly 1:1 with BasemapCodes.
# Edit freely: texture must name a tile in Template/patterns/.
code	texture	type	rock	note	ink	variety
ALPR	basalt	Lithology	Lamproite	lamproite: ultrapotassic volcanic	auto	-
ANS	syenite	Lithology	Nepheline Syenite	nepheline syenite: intrusive, not volcanic	kfeldspar	-
APH	rhyolite	Lithology	Phonolite	felsic-alkaline volcanic, flow banded	auto	-
ATR	rhyolite	Lithology	Trachyte	felsic-alkaline volcanic, flow banded	auto	-
F	granite	Lithology	Felsic Undifferentiated	granitoid, coarse	auto	granite
FAB	felsic_fine	Lithology	Albitite	APLITE FIX: fine-grained felsic dyke/intrusive, NOT a vein hatch	plagioclase	felsic_fine
FAPL	felsic_fine	Lithology	Aplite	APLITE FIX: fine-grained felsic dyke/intrusive, NOT a vein hatch	auto	felsic_fine
FD	dacite	Lithology	Dacite	felsic lava	auto	-
FGAP	felsic_fine	Lithology	Aplogranite	APLITE FIX: fine-grained felsic dyke/intrusive, NOT a vein hatch	auto	felsic_fine
FGD	granodiorite	Lithology	Granodiorite	plagioclase-bearing granitoid	auto	-
FGM	granite	Lithology	Monzogranite	granitoid, coarse	auto	granite
FGR	granite	Lithology	Granite	granitoid, coarse	auto	granite
FGR2M	granite	Lithology	Two-Mica Granite	granitoid, coarse	mica	granite
FGRA	granite	Lithology	Alkali-Feldspar Granite	granitoid, coarse	kfeldspar	granite
FGRB	granite	Lithology	Biotite Granite	granitoid, coarse	mica	granite
FGRL	granite	Lithology	Leucogranite	granitoid, coarse	plagioclase	granite
FGY	felsic_fine	Lithology	Granophyre	APLITE FIX: fine-grained felsic dyke/intrusive, NOT a vein hatch	auto	felsic_fine
FI	granite	Lithology	Felsic Intrusive	granitoid, coarse	auto	granite
FIG	ignimbrite	Lithology	Ignimbrite	pyroclastic / volcaniclastic	auto	-
FMG	felsic_fine	Lithology	Microgranite	APLITE FIX: fine-grained felsic dyke/intrusive, NOT a vein hatch	auto	felsic_fine
FMZQ	syenite	Lithology	Quartz Monzonite	alkali-feldspar rich	quartz	-
FP	porphyry	Lithology	Felsic Porphyritic, undifferentiated	porphyritic texture	auto	-
FPG	pegmatite	Lithology	Felsic Pegmatite	pegmatitic body	auto	-
FPGS	pegmatite	Lithology	Felsic Pegmatite, Spodumene-bearing	pegmatitic body	lithium	-
FQFP	porphyry	Lithology	Quartz-Feldspar Porphyry	porphyritic texture	quartz	-
FQP	porphyry	Lithology	Quartz Porphyry	porphyritic texture	quartz	-
FR	rhyolite	Lithology	Rhyolite	felsic lava	auto	-
FRD	dacite	Lithology	Rhyodacite	felsic lava	auto	-
FSY	syenite	Lithology	Syenite	alkali-feldspar rich	kfeldspar	-
FSYG	syenite	Lithology	Syenogranite	alkali-feldspar rich	kfeldspar	-
FSYG (R)	syenite	Lithology	Syenogranite (Radiogenic)	alkali-feldspar rich	kfeldspar	-
FTA	tuff	Lithology	Felsic Volcanic Ash Tuff	pyroclastic / volcaniclastic	auto	-
FTJ	granodiorite	Lithology	Trondhjemite	plagioclase-bearing granitoid	auto	-
FTO	granodiorite	Lithology	Tonalite	plagioclase-bearing granitoid	auto	-
FTO (LA)	granodiorite	Lithology	Tonalite (Least Altered)	plagioclase-bearing granitoid	auto	-
FTX	tuff	Lithology	Felsic Volcanic Crystal Lithic Tuff	pyroclastic / volcaniclastic	auto	-
FV	rhyolite	Lithology	Felsic Volcanic	felsic lava	auto	-
FVC	tuff	Lithology	Felsic Volcaniclastic	pyroclastic / volcaniclastic	auto	-
FVP	porphyry	Lithology	Felsic Volcanic Porphyritic	porphyritic texture	auto	-
FVX	breccia	Lithology	Felsic Volcanic Breccia	volcanic breccia	auto	-
HAMP	amphibolite	Lithology	Para-Amphibolite, Undifferentiated	para-amphibolite	amphibole	para_amphibolite
HBL	schist	Lithology	Blueschist	blueschist / greenschist facies, foliated	auto	-
HCAT	cataclasite	Lithology	Cataclasite	brittle fault rock	auto	-
HCK	granite	Lithology	Charnockite granite (includes enderbite, jotunite and mangerite)	charnockite: a granitoid	auto	-
HCS	skarn	Lithology	Calc-Silicate Rock	calc-silicate / skarn mineralogy	garnet	-
HEC	eclogite	Lithology	Eclogite	eclogite	garnet	-
HFBX	breccia	Lithology	Fault Breccia	brittle fault rock	auto	-
